"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-13","2021-11-13","05:00 (ET)","MIA@UTA","Miami Heat","Adebayo, Bam","Available","Injury/Illness - Left Knee;  Bruise"
"2021-11-13","2021-11-13","05:00 (ET)","MIA@UTA","Miami Heat","Butler, Jimmy","Out","Injury/Illness - Right Ankle; Sprain"
"2021-11-13","2021-11-13","05:00 (ET)","MIA@UTA","Miami Heat","Garrett, Marcus","Out","G League - Two-Way"
"2021-11-13","2021-11-13","05:00 (ET)","MIA@UTA","Miami Heat","Morris, Markieff","Out","Injury/Illness - Neck; Whiplash"
"2021-11-13","2021-11-13","05:00 (ET)","MIA@UTA","Miami Heat","Oladipo, Victor","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-11-13","2021-11-13","05:00 (ET)","MIA@UTA","Utah Jazz","Gay, Rudy","Out","Injury/Illness - Right Heel; Injury recovery"
"2021-11-13","2021-11-13","07:00 (ET)","MEM@NOP","Memphis Grizzlies","Pons, Yves","Out","G League - Two-Way"
"2021-11-13","2021-11-13","07:00 (ET)","MEM@NOP","New Orleans Pelicans","Hommes, Daulton","Out","Injury/Illness - Right Fibular; Stress Fracture"
"2021-11-13","2021-11-13","07:00 (ET)","MEM@NOP","New Orleans Pelicans","Ingram, Brandon","Available","Injury/Illness - Right Hip; Contusion"
"2021-11-13","2021-11-13","07:00 (ET)","MEM@NOP","New Orleans Pelicans","Louzada, Didi","Out","G League - On Assignment"
"2021-11-13","2021-11-13","07:00 (ET)","MEM@NOP","New Orleans Pelicans","Williamson, Zion","Out","Injury/Illness - Right Foot; Fracture"
"2021-11-13","2021-11-13","07:00 (ET)","PHI@IND","Indiana Pacers","Bitadze, Goga","Out","Injury/Illness - N/A; Non Covid-related illness"
"2021-11-13","2021-11-13","07:00 (ET)","PHI@IND","Indiana Pacers","Jackson, Isaiah","Out","Injury/Illness - Left Knee; Hyperextension"
"2021-11-13","2021-11-13","07:00 (ET)","PHI@IND","Indiana Pacers","LeVert, Caris","Available","Injury/Illness - Back; Sore"
"2021-11-13","2021-11-13","07:00 (ET)","PHI@IND","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fracture"
"2021-11-13","2021-11-13","07:00 (ET)","PHI@IND","Philadelphia 76ers","Embiid, Joel","Out","Health and Safety Protocols"
