"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Ariza, Trevor","Out","Injury/Illness - Right Ankle; Injury recovery"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Bradley, Avery","Available","Injury/Illness - Left Ankle; Sprain"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Davis, Anthony","Available","Injury/Illness - Right Thumb; Sprain"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Doumbouya, Sekou","Out","G League - Two-Way"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Horton-Tucker, Talen","Available","Injury/Illness - Right Thumb; Injury recovery"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Huff, Jay","Out","G League - Two-Way"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","James, LeBron","Out","Injury/Illness - Rectus Abdominis; Strain"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Nunn, Kendrick","Out","Injury/Illness - Right Knee; Bone bruise"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","Los Angeles Lakers","Reaves, Austin","Out","Injury/Illness - Left Hamstring; Strain"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","San Antonio Spurs","Bates-Diop, Keita","Available","Injury/Illness - Low Back; Contusion"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","San Antonio Spurs","Cacok, Devontae","Out","G League - Two-Way"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","San Antonio Spurs","Collins, Zach","Out","Injury/Illness - Left Ankle; Stress Fracture"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","San Antonio Spurs","Landale, Jock","Out","Health and Safety Protocols"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","San Antonio Spurs","Poeltl, Jakob","Out","Return to Competition Reconditioning"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","San Antonio Spurs","Primo, Joshua","Out","G League - On Assignment"
"2021-11-14","2021-11-14","03:30 (ET)","SAS@LAL","San Antonio Spurs","Wieskamp, Joe","Out","G League - Two-Way"
"2021-11-14","2021-11-14","06:00 (ET)","MIL@ATL","Atlanta Hawks","Bogdanovic, Bogdan","Available","Injury/Illness - Right Ankle; Soreness"
