"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Philadelphia 76ers","Curry, Seth","Available","Injury/Illness - Left N/a; Foot contusion"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Philadelphia 76ers","Embiid, Joel","Out","Health and Safety Protocols"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Philadelphia 76ers","Harris, Tobias","Available","Health and Safety Protocols"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Philadelphia 76ers","Joe, Isaiah","Out","Health and Safety Protocols"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Philadelphia 76ers","Riller, Grant","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Philadelphia 76ers","Simmons, Ben","Out","Personal Reasons"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Philadelphia 76ers","Thybulle, Matisse","Out","Health and Safety Protocols"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Toronto Raptors","Birch, Khem","Out","Injury/Illness - Right Knee; Swelling"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Toronto Raptors","Bonga, Isaac","Out","G League - On Assignment"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Toronto Raptors","Johnson, David","Out","G League - Two-Way"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Toronto Raptors","Siakam, Pascal","Out","Injury/Illness - Left Shoulder; Injury Management"
"2021-11-11","2021-11-11","07:00 (ET)","TOR@PHI","Toronto Raptors","Watanabe, Yuta","Out","Injury/Illness - Left Calf; Strain"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Indiana Pacers","Jackson, Isaiah","Out","Injury/Illness - Left Knee; Hyperextension"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Indiana Pacers","Jarreau, DeJon","Out","G League - Two-Way"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Indiana Pacers","LeVert, Caris","Out","Injury/Illness - Back; Sore Lower"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fracture"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Indiana Pacers","Washington Jr., Duane","Out","G League - Two-Way"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Utah Jazz","Azubuike, Udoka","Available","G League - On Assignment"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Utah Jazz","Butler, Jared","Available","G League - On Assignment"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Utah Jazz","Gay, Rudy","Out","Injury/Illness - Right Heel; Injury recovery"
"2021-11-11","2021-11-11","09:00 (ET)","IND@UTA","Utah Jazz","Hughes, Elijah","Available","Injury/Illness - N/A; Non-COVID related illness"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Boston Jr., Brandon","Out","G League - On Assignment"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Coffey, Amir","Available","G League - Two-Way"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Ibaka, Serge","Out","G League - On Assignment"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Johnson, Keon","Out","G League - On Assignment"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Leonard, Kawhi","Out","Injury/Illness - Right Knee; ACL - Injury Recovery"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Morris Sr., Marcus","Out","Injury/Illness - Left Knee; Injury Maintenance"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Preston, Jason","Out","Injury/Illness - Right Foot; Injury Recovery"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","LA Clippers","Scrubb, Jay","Out","G League - Two-Way"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","Miami Heat","Adebayo, Bam","Questionable","Injury/Illness - Left Knee; Bruise"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","Miami Heat","Butler, Jimmy","Out","Injury/Illness - Right Ankle; Sprain"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","Miami Heat","Garrett, Marcus","Out","G League - Two-Way"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","Miami Heat","Herro, Tyler","Questionable","Injury/Illness - Lower Back; Tightness"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","Miami Heat","Morris, Markieff","Out","Injury/Illness - Neck; Whiplash"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","Miami Heat","Oladipo, Victor","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-11-11","2021-11-11","10:30 (ET)","MIA@LAC","Miami Heat","Strus, Max","Questionable","Injury/Illness - Left Knee; Sprain"
"2021-11-11","2021-11-12","07:00 (ET)","NYK@CHA","Charlotte Hornets","Carey Jr., Vernon","Out","G League - On Assignment"
"2021-11-11","2021-11-12","07:00 (ET)","NYK@CHA","Charlotte Hornets","Kulboka, Arnoldas","Out","G League - Two-Way"
"2021-11-11","2021-11-12","07:00 (ET)","NYK@CHA","Charlotte Hornets","Lewis, Scottie","Out","G League - Two-Way"
"2021-11-11","2021-11-12","07:00 (ET)","NYK@CHA","Charlotte Hornets","Thor, JT","Out","G League - On Assignment"
"2021-11-11","2021-11-12","07:00 (ET)","NYK@CHA","Charlotte Hornets","Washington, P.J.","Out","Injury/Illness - Left Elbow; Hyperextension"
"2021-11-11","2021-11-12","07:00 (ET)","NYK@CHA","New York Knicks","Noel, Nerlens","Questionable","Injury/Illness - Right Knee; Sprained"
"2021-11-11","2021-11-12","07:00 (ET)","NYK@CHA","New York Knicks","Samanic, Luka","Out","G League - Two-Way"
"2021-11-11","2021-11-12","07:30 (ET)","DET@CLE","Cleveland Cavaliers","Love, Kevin","Out","Health and Safety Protocols"
"2021-11-11","2021-11-12","07:30 (ET)","DET@CLE","Cleveland Cavaliers","Markkanen, Lauri","Out","Health and Safety Protocols"
"2021-11-11","2021-11-12","07:30 (ET)","DET@CLE","Cleveland Cavaliers","Sexton, Collin","Out","Injury/Illness - Left Knee; Meniscal Tear"
"2021-11-11","2021-11-12","07:30 (ET)","DET@CLE","Detroit Pistons","Garza, Luka","Out","G League - On Assignment"
"2021-11-11","2021-11-12","07:30 (ET)","DET@CLE","Detroit Pistons","Lee, Saben","Out","G League - On Assignment"
"2021-11-11","2021-11-12","07:30 (ET)","DET@CLE","Detroit Pistons","Livers, Isaiah","Out","G League - On Assignment"
