"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Detroit Pistons","Lee, Saben","Out","G League - On Assignment"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Detroit Pistons","Livers, Isaiah","Out","Return to Competition Reconditioning"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Detroit Pistons","Olynyk, Kelly","Out","Injury/Illness - Left Knee; Sprain"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Detroit Pistons","Pickett, Jamorko","Out","G League - Two-Way"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Detroit Pistons","Smith, Chris","Out","G League - Two-Way"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Indiana Pacers","Duarte, Chris","Out","Injury/Illness - Right Shoulder; Soreness"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Indiana Pacers","Jackson, Isaiah","Out","G League - On Assignment"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Indiana Pacers","Jarreau, DeJon","Out","G League - Two-Way"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fracture"
"2021-11-17","2021-11-17","07:00 (ET)","IND@DET","Indiana Pacers","Washington Jr., Duane","Out","G League - Two-Way"
"2021-11-17","2021-11-17","07:00 (ET)","WAS@CHA","Charlotte Hornets","Hayward, Gordon","Probable","Injury/Illness - Right Hamstring; Discomfort"
"2021-11-17","2021-11-17","07:00 (ET)","WAS@CHA","Charlotte Hornets","Washington, P.J.","Out","Injury/Illness - Left Elbow; Hyperextension"
"2021-11-17","2021-11-17","07:00 (ET)","WAS@CHA","Washington Wizards","Bertans, Davis","Out","Injury/Illness - Left Ankle; Left ankle sprain"
"2021-11-17","2021-11-17","07:00 (ET)","WAS@CHA","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left Knee; Left ACL injury recovery"
"2021-11-17","2021-11-17","07:00 (ET)","WAS@CHA","Washington Wizards","Hachimura, Rui","Out","Not With Team"
"2021-11-17","2021-11-17","07:30 (ET)","BOS@ATL","Atlanta Hawks","Bogdanovic, Bogdan","Available","Injury/Illness - Right Ankle; Soreness"
"2021-11-17","2021-11-17","07:30 (ET)","BOS@ATL","Atlanta Hawks","Huerter, Kevin","Available","Injury/Illness - Left Hamstring; Tightness"
"2021-11-17","2021-11-17","07:30 (ET)","BOS@ATL","Atlanta Hawks","Hunter, De'Andre","Out","Injury/Illness - Right Wrist Tendon; Surgery"
"2021-11-17","2021-11-17","07:30 (ET)","BOS@ATL","Atlanta Hawks","Okongwu, Onyeka","Out","Injury/Illness - Right Shoulder; Injury Recovery"
"2021-11-17","2021-11-17","07:30 (ET)","BOS@ATL","Boston Celtics","Brown, Jaylen","Out","Injury/Illness - Right Hamstring; Strain"
"2021-11-17","2021-11-17","07:30 (ET)","BOS@ATL","Boston Celtics","Hauser, Sam","Out","G League - Two-Way"
"2021-11-17","2021-11-17","07:30 (ET)","BOS@ATL","Boston Celtics","Williams III, Robert","Out","Injury/Illness - Left Knee; Tendinopathy"
"2021-11-17","2021-11-17","07:30 (ET)","CLE@BKN","Brooklyn Nets","Claxton, Nic","Out","Injury/Illness - N/a; Illness (non-covid)"
"2021-11-17","2021-11-17","07:30 (ET)","CLE@BKN","Brooklyn Nets","Duke Jr., David","Out","G League - Two-Way"
