"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","Dallas Mavericks","Doncic, Luka","Out","Injury/Illness - Left Knee And Ankle; Sprains"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","Dallas Mavericks","Kleber, Maxi","Available","Injury/Illness - Left Oblique; Strain"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","Dallas Mavericks","McLaughlin, JaQuori","Out","G League - Two-Way"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","Dallas Mavericks","Omoruyi, Eugene","Out","G League - Two-Way"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","LA Clippers","Batum, Nicolas","Out","Health and Safety Protocols"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","LA Clippers","Johnson, Keon","Out","G League - On Assignment"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","LA Clippers","Leonard, Kawhi","Out","Injury/Illness - Right Knee; ACL - Injury Recovery"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","LA Clippers","Morris Sr., Marcus","Out","Injury/Illness - Left Knee; Injury Maintenance"
"2021-11-21","2021-11-21","03:30 (ET)","DAL@LAC","LA Clippers","Preston, Jason","Out","Injury/Illness - Right Foot; Injury Recovery"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Detroit Pistons","Hayes, Killian","Out","Injury/Illness - Left Thumb; Sprain"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Detroit Pistons","Livers, Isaiah","Out","Return to Competition Reconditioning"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Detroit Pistons","Olynyk, Kelly","Out","Injury/Illness - Left Knee; Sprain"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Detroit Pistons","Pickett, Jamorko","Available","G League - Two-Way"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Detroit Pistons","Smith, Chris","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Detroit Pistons","Stewart, Isaiah","Available","Injury/Illness - Right Ankle; Sprain"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Los Angeles Lakers","Ariza, Trevor","Out","Injury/Illness - Right Ankle; Injury recovery"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Los Angeles Lakers","Brown Jr., Chaundee","Out","G League - Two-Way"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Los Angeles Lakers","Davis, Anthony","Available","Injury/Illness - Right Thigh; Contusion"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Los Angeles Lakers","Huff, Jay","Out","G League - Two-Way"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Los Angeles Lakers","James, LeBron","Available","Injury/Illness - Rectus Abdominis; Strain"
"2021-11-21","2021-11-21","06:00 (ET)","LAL@DET","Los Angeles Lakers","Nunn, Kendrick","Out","Injury/Illness - Right Knee; Bone bruise"
