"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-10-21","2021-10-21","07:30 (ET)","DAL@ATL","Atlanta Hawks","Gallinari, Danilo","Out","Injury/Illness - Left Shoulder; Soreness"
"2021-10-21","2021-10-21","07:30 (ET)","DAL@ATL","Atlanta Hawks","Johnson, Jalen","Available","Injury/Illness - Right Ankle; Soreness"
"2021-10-21","2021-10-21","07:30 (ET)","DAL@ATL","Atlanta Hawks","Okongwu, Onyeka","Out","Injury/Illness - Right Shoulder; Injury Recovery"
"2021-10-21","2021-10-21","07:30 (ET)","DAL@ATL","Atlanta Hawks","Williams, Lou","Available","Injury/Illness - Left Hip; Soreness"
"2021-10-21","2021-10-21","07:30 (ET)","DAL@ATL","Dallas Mavericks","McLaughlin, JaQuori","Out","G League - Two-Way"
"2021-10-21","2021-10-21","07:30 (ET)","DAL@ATL","Dallas Mavericks","Omoruyi, Eugene","Out","G League - Two-Way"
"2021-10-21","2021-10-21","08:00 (ET)","MIL@MIA","Miami Heat","Oladipo, Victor","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-10-21","2021-10-21","08:00 (ET)","MIL@MIA","Milwaukee Bucks","DiVincenzo, Donte","Out","Injury/Illness - Left Ankle; Injury recovery"
"2021-10-21","2021-10-21","08:00 (ET)","MIL@MIA","Milwaukee Bucks","Holiday, Jrue","Out","Injury/Illness - Right Heel; Contusion"
"2021-10-21","2021-10-21","08:00 (ET)","MIL@MIA","Milwaukee Bucks","Hood, Rodney","Out","Injury/Illness - Right Foot; Soreness"
"2021-10-21","2021-10-21","08:00 (ET)","MIL@MIA","Milwaukee Bucks","Lopez, Brook","Out","Injury/Illness - Back; Soreness"
"2021-10-21","2021-10-21","08:00 (ET)","MIL@MIA","Milwaukee Bucks","Ojeleye, Semi","Out","Injury/Illness - Left Calf; Strain"
"2021-10-21","2021-10-21","08:00 (ET)","MIL@MIA","Milwaukee Bucks","Portis, Bobby","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","Golden State Warriors","Kuminga, Jonathan","Out","Injury/Illness - Right Knee; Patellar Tendon Strain"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","Golden State Warriors","Thompson, Klay","Out","Injury/Illness - Right Achilles Tendon; Injury Recovery"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","Golden State Warriors","Wiseman, James","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","LA Clippers","Batum, Nicolas","Out","Personal Reasons"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","LA Clippers","Ibaka, Serge","Out","Injury/Illness - Low Back; Injury Recovery"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","LA Clippers","Johnson, Keon","Out","Injury/Illness - Illness; N/A"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","LA Clippers","Leonard, Kawhi","Out","Injury/Illness - Right Knee; ACL - Injury Recovery"
"2021-10-21","2021-10-21","10:00 (ET)","LAC@GSW","LA Clippers","Preston, Jason","Out","Injury/Illness - Right Foot; Injury Recovery"
"2021-10-21","2021-10-22","07:00 (ET)","CHA@CLE","Charlotte Hornets","Rozier, Terry","Questionable","Injury/Illness - Left Ankle; Sprain"
"2021-10-21","2021-10-22","07:00 (ET)","CHA@CLE","Cleveland Cavaliers","Garland, Darius","Questionable","Injury/Illness - Left Ankle; Sprain"
"2021-10-21","2021-10-22","07:00 (ET)","CHA@CLE","Cleveland Cavaliers","Wade, Dean","Probable","Injury/Illness - Right Ankle; Sprain"
"2021-10-21","2021-10-22","07:00 (ET)","CHA@CLE","Cleveland Cavaliers","Windler, Dylan","Out","Injury/Illness - Right Hip; Strain"
"2021-10-21","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Craig, Torrey","Questionable","Injury/Illness - Left Shoulder; Sore"
"2021-10-21","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Holiday, Justin","Questionable","Injury/Illness - Left Ankle; Sprain"
"2021-10-21","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Lamb, Jeremy","Questionable","Injury/Illness - Right Wrist; Sore"
"2021-10-21","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","LeVert, Caris","Out","Injury/Illness - Back; Sore Lower"
"2021-10-21","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Martin, Kelan","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-21","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fractured"
"2021-10-21","2021-10-22","07:00 (ET)","IND@WAS","Washington Wizards","Beal, Bradley","Questionable","Injury/Illness - Right Hip; Right hip contusion"
