"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-10-19","2021-10-19","07:30 (ET)","BKN@MIL","Brooklyn Nets","Irving, Kyrie","Out","Not With Team"
"2021-10-19","2021-10-19","07:30 (ET)","BKN@MIL","Brooklyn Nets","Sharpe, Day'Ron","Out","Injury/Illness - Right Second Toe; Sprain"
"2021-10-19","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","DiVincenzo, Donte","Out","Injury/Illness - Left Ankle; Injury Recovery"
"2021-10-19","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","Hood, Rodney","Out","Injury/Illness - Right Foot; Soreness"
"2021-10-19","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","Ojeleye, Semi","Out","Injury/Illness - Left Calf; Strain"
"2021-10-19","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","Portis, Bobby","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Dowtin, Jeff","Out","Not With Team"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Kuminga, Jonathan","Out","Injury/Illness - Right Knee; Patellar Tendon Strain"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Thompson, Klay","Out","Injury/Illness - Right Achilles Tendon; Repair"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Wiseman, James","Out","Injury/Illness - Right Knee; Meniscus Tear"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Ariza, Trevor","Out","Injury/Illness - Right Ankle; Injury Recovery"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Ellington, Wayne","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Horton-Tucker, Talen","Out","Injury/Illness - Right Thumb; Injury Recovery"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Monk, Malik","Probable","Injury/Illness - Right Groin; Strain"
"2021-10-19","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Nunn, Kendrick","Questionable","Injury/Illness - Right Ankle; Sprain"
"2021-10-19","2021-10-20","07:00 (ET)","CHI@DET","Chicago Bulls","Brown Jr., Troy","Questionable","Injury/Illness - N/a; Illness"
"2021-10-19","2021-10-20","07:00 (ET)","CHI@DET","Chicago Bulls","White, Coby","Out","Injury/Illness - Left Shoulder; Injury Management"
"2021-10-19","2021-10-20","07:00 (ET)","CHI@DET","Detroit Pistons","Cunningham, Cade","Out","Injury/Illness - Right Ankle; Sprain"
"2021-10-19","2021-10-20","07:00 (ET)","CHI@DET","Detroit Pistons","Livers, Isaiah","Out","Injury/Illness - Right Foot; Injury recovery"
"2021-10-19","2021-10-20","07:00 (ET)","CHI@DET","Detroit Pistons","Smith, Chris","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Charlotte Hornets","Bridges, Miles","Probable","Injury/Illness - Right Knee; Discomfort"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Charlotte Hornets","Rozier, Terry","Probable","Injury/Illness - Left Ankle; Sprain"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Indiana Pacers","Brogdon, Malcolm","Probable","Injury/Illness - Left AC; Sprain, Grade 1"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Indiana Pacers","Holiday, Justin","Questionable","Injury/Illness - Left Ankle; Sprain"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Indiana Pacers","Lamb, Jeremy","Questionable","Injury/Illness - Right Wrist; Sore"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Indiana Pacers","LeVert, Caris","Out","Injury/Illness - Back; Sore Lower"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Indiana Pacers","Martin, Kelan","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-19","2021-10-20","07:00 (ET)","IND@CHA","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fracture"
"2021-10-19","2021-10-20","07:30 (ET)","BOS@NYK","Boston Celtics","Brown, Jaylen","Questionable","Return to Competition Reconditioning"
"2021-10-19","2021-10-20","07:30 (ET)","BOS@NYK","Boston Celtics","Horford, Al","Out","Health and Safety Protocols"
"2021-10-19","2021-10-20","07:30 (ET)","BOS@NYK","New York Knicks","Noel, Nerlens","Doubtful","Injury/Illness - Left Knee; sore"
"2021-10-19","2021-10-20","07:30 (ET)","BOS@NYK","New York Knicks","Samanic, Luka","Out","G League - Two-Way"
"2021-10-19","2021-10-20","07:30 (ET)","WAS@TOR","Toronto Raptors","Boucher, Chris","Questionable","Injury/Illness - Left Finger; Dislocation - middle"
"2021-10-19","2021-10-20","07:30 (ET)","WAS@TOR","Toronto Raptors","Siakam, Pascal","Out","Injury/Illness - Left Shoulder; Injury recovery"
"2021-10-19","2021-10-20","07:30 (ET)","WAS@TOR","Toronto Raptors","Watanabe, Yuta","Out","Injury/Illness - Left Calf; Strain"
"2021-10-19","2021-10-20","07:30 (ET)","WAS@TOR","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-10-19","2021-10-20","07:30 (ET)","WAS@TOR","Washington Wizards","Hachimura, Rui","Out","Not With Team"
