"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-10-18","2021-10-19","07:30 (ET)","BKN@MIL","Brooklyn Nets","Irving, Kyrie","Out","Not With Team"
"2021-10-18","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","DiVincenzo, Donte","Out","Injury/Illness - Left Ankle; Reconstruction Surgery"
"2021-10-18","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","Hood, Rodney","Out","Injury/Illness - Right Foot; Soreness"
"2021-10-18","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","Ojeleye, Semi","Out","Injury/Illness - Left Calf; Strain"
"2021-10-18","2021-10-19","07:30 (ET)","BKN@MIL","Milwaukee Bucks","Portis, Bobby","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Dowtin, Jeff","Out","Not With Team"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Kuminga, Jonathan","Out","Injury/Illness - Right Knee; Patellar Tendon Strain"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Thompson, Klay","Out","Injury/Illness - Right Achilles Tendon; Repair"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Golden State Warriors","Wiseman, James","Out","Injury/Illness - Right Knee; Meniscus Tear"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Ariza, Trevor","Out","Injury/Illness - Right Ankle; Rehab"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Ellington, Wayne","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Horton-Tucker, Talen","Out","Injury/Illness - Right Thumb; Rehab"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Monk, Malik","Probable","Injury/Illness - Right Groin; Strain"
"2021-10-18","2021-10-19","10:00 (ET)","GSW@LAL","Los Angeles Lakers","Nunn, Kendrick","Questionable","Injury/Illness - Right Ankle; Sprain"
