"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-10-22","2021-10-22","07:00 (ET)","CHA@CLE","Charlotte Hornets","Rozier, Terry","Available","Injury/Illness - Left Ankle; Sprain"
"2021-10-22","2021-10-22","07:00 (ET)","CHA@CLE","Cleveland Cavaliers","Garland, Darius","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-22","2021-10-22","07:00 (ET)","CHA@CLE","Cleveland Cavaliers","Wade, Dean","Available","Injury/Illness - Right Ankle; Sprain"
"2021-10-22","2021-10-22","07:00 (ET)","CHA@CLE","Cleveland Cavaliers","Windler, Dylan","Out","Injury/Illness - Right Hip; Strain"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Craig, Torrey","Available","Injury/Illness - Left Shoulder; Sore"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Holiday, Justin","Available","Injury/Illness - Left Ankle; Sprain"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Lamb, Jeremy","Available","Injury/Illness - Right Wrist; Sore"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","LeVert, Caris","Out","Injury/Illness - Back; Sore Lower"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Martin, Kelan","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fractured"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Washington Wizards","Beal, Bradley","Out","Injury/Illness - Right Hip; Right hip contusion"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-10-22","2021-10-22","07:00 (ET)","IND@WAS","Washington Wizards","Gill, Anthony","Out","Injury/Illness - Right Calf; Right calf strain"
