"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Cleveland Cavaliers","Allen, Jarrett","Out","Injury/Illness - Illness; Illness"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Cleveland Cavaliers","Markkanen, Lauri","Out","Return to Competition Reconditioning"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Cleveland Cavaliers","Mobley, Evan","Out","Injury/Illness - Right Elbow; Sprain"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Cleveland Cavaliers","Osman, Cedi","Out","Injury/Illness - Low Back; Spasms"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Cleveland Cavaliers","Sexton, Collin","Out","Injury/Illness - Left Knee; Meniscal Tear"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Cleveland Cavaliers","Stevens, Lamar","Out","Injury/Illness - Right Ankle; Sprain"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Golden State Warriors","Curry, Stephen","Available","Injury/Illness - Left Hip; Contusion"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Golden State Warriors","Iguodala, Andre","Out","Injury/Illness - Left Hip; Injury Management"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Golden State Warriors","Thompson, Klay","Out","Injury/Illness - Right Achilles Tendon; Injury Recovery"
"2021-11-18","2021-11-18","07:30 (ET)","GSW@CLE","Golden State Warriors","Wiseman, James","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Miami Heat","Adebayo, Bam","Available","Injury/Illness - Left Knee;  Bruise"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Miami Heat","Dedmon, Dewayne","Available","Injury/Illness - Right Groin; Strain"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Miami Heat","Herro, Tyler","Out","Injury/Illness - Right Wrist; Bruise"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Miami Heat","Martin, Caleb","Available","Injury/Illness - Right Ankle; Sprain"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Miami Heat","Morris, Markieff","Out","Injury/Illness - neck; Whiplash"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Miami Heat","Oladipo, Victor","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Washington Wizards","Bertans, Davis","Out","Injury/Illness - Left Ankle; Left ankle sprain"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left Knee; Left ACL injury recovery"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Washington Wizards","Dinwiddie, Spencer","Out","Injury/Illness - Right Knee; Right knee injury maintenance"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Washington Wizards","Gafford, Daniel","Out","Injury/Illness - Right Thumb; Right thumb sprain"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Washington Wizards","Hachimura, Rui","Out","Not With Team"
"2021-11-18","2021-11-18","07:30 (ET)","WAS@MIA","Washington Wizards","Winston, Cassius","Out","G League - Two-Way"
"2021-11-18","2021-11-18","08:00 (ET)","LAC@MEM","LA Clippers","Batum, Nicolas","Out","Injury/Illness - Right Achilles; Soreness"
"2021-11-18","2021-11-18","08:00 (ET)","LAC@MEM","LA Clippers","Ibaka, Serge","Out","G League - On Assignment"
