"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","New York Knicks","Noel, Nerlens","Available","Injury/Illness - Back; sore lower"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","New York Knicks","Robinson, Mitchell","Out","Injury/Illness - Hip; flexor"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","New York Knicks","Samanic, Luka","Out","G League - Two-Way"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","Philadelphia 76ers","Embiid, Joel","Out","Health and Safety Protocols"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","Philadelphia 76ers","Green, Danny","Available","Injury/Illness - Left Hamstring; Tightness"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","Philadelphia 76ers","Harris, Tobias","Out","Health and Safety Protocols"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","Philadelphia 76ers","Joe, Isaiah","Out","Health and Safety Protocols"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","Philadelphia 76ers","Riller, Grant","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","Philadelphia 76ers","Simmons, Ben","Out","Personal Reasons"
"2021-11-08","2021-11-08","07:00 (ET)","NYK@PHI","Philadelphia 76ers","Thybulle, Matisse","Out","Health and Safety Protocols"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Brooklyn Nets","Claxton, Nic","Out","Injury/Illness - N/a; Illness (non-covid)"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Brooklyn Nets","Duke Jr., David","Out","G League - Two-Way"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Brooklyn Nets","Edwards, Kessler","Out","G League - Two-Way"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Brooklyn Nets","Irving, Kyrie","Out","Not With Team"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Chicago Bulls","Dotson, Devon","Out","G League - Two-Way"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Chicago Bulls","LaVine, Zach","Available","Injury/Illness - Left Thumb; Sprain"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Chicago Bulls","Simonovic, Marko","Out","G League - On Assignment"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Chicago Bulls","White, Coby","Out","Injury/Illness - Left Shoulder; Injury Management"
"2021-11-08","2021-11-08","08:00 (ET)","BKN@CHI","Chicago Bulls","Williams, Patrick","Out","Injury/Illness - Left Wrist; Ligament Tear"
"2021-11-08","2021-11-08","08:00 (ET)","MIN@MEM","Memphis Grizzlies","Brooks, Dillon","Out","Injury/Illness - Left Hand; Fracture Recovery"
"2021-11-08","2021-11-08","08:00 (ET)","MIN@MEM","Memphis Grizzlies","Pons, Yves","Doubtful","Injury/Illness - Left Ankle; Soreness"
"2021-11-08","2021-11-08","08:00 (ET)","MIN@MEM","Memphis Grizzlies","Tillie, Killian","Out","Injury/Illness - Back; Soreness"
"2021-11-08","2021-11-08","08:00 (ET)","MIN@MEM","Memphis Grizzlies","Williams, Ziaire","Questionable","Injury/Illness - Right Wrist; Soreness"
"2021-11-08","2021-11-08","08:00 (ET)","MIN@MEM","Minnesota Timberwolves","Bolmaro, Leandro","Out","G League - On Assignment"
"2021-11-08","2021-11-08","08:00 (ET)","MIN@MEM","Minnesota Timberwolves","Russell, D'Angelo","Available","Injury/Illness - Right Ankle; Sprain"
"2021-11-08","2021-11-08","08:00 (ET)","MIN@MEM","Minnesota Timberwolves","Wright IV, McKinley","Out","G League - Two-Way"
"2021-11-08","2021-11-08","08:30 (ET)","NOP@DAL","Dallas Mavericks","Kleber, Maxi","Out","Injury/Illness - Left Oblique; Strain"
"2021-11-08","2021-11-08","08:30 (ET)","NOP@DAL","New Orleans Pelicans","Hommes, Daulton","Out","Injury/Illness - Right Fibular; Stress Fracture"
"2021-11-08","2021-11-08","08:30 (ET)","NOP@DAL","New Orleans Pelicans","Ingram, Brandon","Out","Injury/Illness - Right Hip; Contusion"
"2021-11-08","2021-11-08","08:30 (ET)","NOP@DAL","New Orleans Pelicans","Jones, Herbert","Out","Injury/Illness - Left Ankle; Soreness"
"2021-11-08","2021-11-08","08:30 (ET)","NOP@DAL","New Orleans Pelicans","Williamson, Zion","Out","Injury/Illness - Right Foot; Fracture"
"2021-11-08","2021-11-08","09:00 (ET)","MIA@DEN","Denver Nuggets","Cancar, Vlatko","Out","Injury/Illness - Left Hip; Strain"
"2021-11-08","2021-11-08","09:00 (ET)","MIA@DEN","Denver Nuggets","Cornelie, Petr","Out","G League - Two-Way"
