"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-10-23","2021-10-23","06:00 (ET)","ATL@CLE","Atlanta Hawks","Gallinari, Danilo","Out","Injury/Illness - Left Shoulder; Soreness"
"2021-10-23","2021-10-23","06:00 (ET)","ATL@CLE","Atlanta Hawks","Okongwu, Onyeka","Out","Injury/Illness - Right Shoulder; Injury Recovery"
"2021-10-23","2021-10-23","06:00 (ET)","ATL@CLE","Cleveland Cavaliers","Garland, Darius","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-23","2021-10-23","06:00 (ET)","ATL@CLE","Cleveland Cavaliers","Windler, Dylan","Out","Injury/Illness - Right Hip; Strain"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Indiana Pacers","Craig, Torrey","Available","Injury/Illness - Left Shoulder; Sore"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Indiana Pacers","Holiday, Justin","Available","Injury/Illness - Left Ankle; Sprain"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Indiana Pacers","Lamb, Jeremy","Available","Injury/Illness - Right Wrist; Sore"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Indiana Pacers","LeVert, Caris","Out","Injury/Illness - Back; Sore Lower"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Indiana Pacers","Martin, Kelan","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fracture"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Miami Heat","Dedmon, Dewayne","Available","Injury/Illness - Right Ankle; Sprain"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Miami Heat","Lowry, Kyle","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-23","2021-10-23","07:00 (ET)","MIA@IND","Miami Heat","Oladipo, Victor","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-10-23","2021-10-23","07:30 (ET)","DAL@TOR","Dallas Mavericks","McLaughlin, JaQuori","Out","G League - Two-Way"
"2021-10-23","2021-10-23","07:30 (ET)","DAL@TOR","Dallas Mavericks","Omoruyi, Eugene","Out","G League - Two-Way"
"2021-10-23","2021-10-23","07:30 (ET)","DAL@TOR","Toronto Raptors","Siakam, Pascal","Out","Injury/Illness - Left Shoulder; Injury recovery"
"2021-10-23","2021-10-23","07:30 (ET)","DAL@TOR","Toronto Raptors","Watanabe, Yuta","Out","Injury/Illness - Left Calf; Strain"
"2021-10-23","2021-10-23","08:00 (ET)","DET@CHI","Chicago Bulls","White, Coby","Out","Injury/Illness - Left Shoulder; Injury Management"
"2021-10-23","2021-10-23","08:00 (ET)","DET@CHI","Detroit Pistons","Cunningham, Cade","Out","Injury/Illness - Right Ankle; Sprain"
"2021-10-23","2021-10-23","08:00 (ET)","DET@CHI","Detroit Pistons","Livers, Isaiah","Out","Injury/Illness - Right Foot; Injury recovery"
"2021-10-23","2021-10-23","08:00 (ET)","DET@CHI","Detroit Pistons","Smith, Chris","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-10-23","2021-10-23","08:00 (ET)","NOP@MIN","New Orleans Pelicans","Hart, Josh","Out","Injury/Illness - Right Quadriceps; Tendinosis"
"2021-10-23","2021-10-23","08:00 (ET)","NOP@MIN","New Orleans Pelicans","Hommes, Daulton","Out","Injury/Illness - Right Peroneal; Soreness"
"2021-10-23","2021-10-23","08:00 (ET)","NOP@MIN","New Orleans Pelicans","Williamson, Zion","Out","Injury/Illness - Right Foot; Fracture"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","Milwaukee Bucks","DiVincenzo, Donte","Out","Injury/Illness - Left Ankle; Injury recovery"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","Milwaukee Bucks","Holiday, Jrue","Available","Injury/Illness - Right Heel; Contusion"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","Milwaukee Bucks","Hood, Rodney","Available","Injury/Illness - Right Foot; Soreness"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","Milwaukee Bucks","Lopez, Brook","Out","Injury/Illness - Back; Soreness"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","Milwaukee Bucks","Ojeleye, Semi","Out","Injury/Illness - Left Calf; Strain"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","Milwaukee Bucks","Portis, Bobby","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","San Antonio Spurs","Cacok, Devontae","Out","Not With Team"
"2021-10-23","2021-10-23","08:30 (ET)","MIL@SAS","San Antonio Spurs","Collins, Zach","Out","Injury/Illness - Left Ankle; Stress Fracture"
"2021-10-23","2021-10-23","10:00 (ET)","PHX@POR","Phoenix Suns","Payne, Cameron","Out","Injury/Illness - Right Hamstring; Strain"
"2021-10-23","2021-10-23","10:00 (ET)","PHX@POR","Phoenix Suns","Saric, Dario","Out","Injury/Illness - Right Acl; Tear"
"2021-10-23","2021-10-23","10:00 (ET)","PHX@POR","Phoenix Suns","Shamet, Landry","Probable","Injury/Illness - Right Foot; Soreness"
"2021-10-23","2021-10-23","10:00 (ET)","PHX@POR","Portland Trail Blazers","Snell, Tony","Out","Injury/Illness - Right Foot; Sprain"
"2021-10-23","2021-10-23","10:30 (ET)","MEM@LAC","LA Clippers","Ibaka, Serge","Out","Injury/Illness - Low Back; Injury Recovery"
"2021-10-23","2021-10-23","10:30 (ET)","MEM@LAC","LA Clippers","Johnson, Keon","Questionable","Injury/Illness - N/a; Illness"
"2021-10-23","2021-10-23","10:30 (ET)","MEM@LAC","LA Clippers","Leonard, Kawhi","Out","Injury/Illness - Right Knee; ACL - Injury Recovery"
