"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-20","2021-11-20","05:00 (ET)","HOU@NYK","Houston Rockets","Nix, Daishen","Out","G League - Two-Way"
"2021-11-20","2021-11-20","05:00 (ET)","HOU@NYK","Houston Rockets","Porter Jr., Kevin","Out","Injury/Illness - Left Thigh; Contusion"
"2021-11-20","2021-11-20","05:00 (ET)","HOU@NYK","New York Knicks","Gibson, Taj","Out","Injury/Illness - Groin; sore"
"2021-11-20","2021-11-20","05:00 (ET)","HOU@NYK","New York Knicks","Noel, Nerlens","Available","Injury/Illness - Right Knee; sprained"
"2021-11-20","2021-11-20","05:00 (ET)","HOU@NYK","New York Knicks","Samanic, Luka","Out","G League - Two-Way"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Miami Heat","Adebayo, Bam","Available","Injury/Illness - Left Knee; Bruise"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Miami Heat","Herro, Tyler","Available","Injury/Illness - Right Wrist; Bruise"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Miami Heat","Morris, Markieff","Out","Injury/Illness - Neck; Whiplash"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Miami Heat","Oladipo, Victor","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Washington Wizards","Bertans, Davis","Out","Injury/Illness - Left Ankle; Left ankle sprain"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left Knee; Left ACL injury recovery"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Washington Wizards","Gafford, Daniel","Available","Injury/Illness - Right Thumb; Right thumb sprain"
"2021-11-20","2021-11-20","07:00 (ET)","MIA@WAS","Washington Wizards","Hachimura, Rui","Out","Not With Team"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","Indiana Pacers","Duarte, Chris","Available","Injury/Illness - Right Shoulder; Sore"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","Indiana Pacers","Jackson, Isaiah","Out","G League - On Assignment"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","Indiana Pacers","Jarreau, DeJon","Out","G League - Two-Way"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fracture"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","Indiana Pacers","Washington Jr., Duane","Out","G League - Two-Way"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","New Orleans Pelicans","Graham, Devonte'","Out","Injury/Illness - Left Foot; Soreness"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","New Orleans Pelicans","Hommes, Daulton","Out","Injury/Illness - Right Fibular; Stress Fracture"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","New Orleans Pelicans","Louzada, Didi","Out","League Suspension"
"2021-11-20","2021-11-20","07:00 (ET)","NOP@IND","New Orleans Pelicans","Williamson, Zion","Out","Injury/Illness - Right Foot; Fracture"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Atlanta Hawks","Cooper, Sharife","Available","G League - On Assignment"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Atlanta Hawks","Hunter, De'Andre","Out","Injury/Illness - Right Wrist; Tendon Surgery"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Atlanta Hawks","Johnson, Jalen","Available","G League - On Assignment"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Atlanta Hawks","Mays, Skylar","Available","G League - On Assignment"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Atlanta Hawks","Okongwu, Onyeka","Out","Injury/Illness - Right Shoulder; Injury Recovery"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Charlotte Hornets","Bouknight, James","Out","G League - On Assignment"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Charlotte Hornets","Carey Jr., Vernon","Out","Not With Team"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Charlotte Hornets","Jones, Kai","Out","G League - On Assignment"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Charlotte Hornets","Kulboka, Arnoldas","Out","G League - Two-Way"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Charlotte Hornets","Lewis, Scottie","Out","G League - Two-Way"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Charlotte Hornets","Thor, JT","Out","G League - On Assignment"
"2021-11-20","2021-11-20","07:30 (ET)","CHA@ATL","Charlotte Hornets","Washington, P.J.","Out","Injury/Illness - Left Elbow; Hyperextension"
"2021-11-20","2021-11-20","07:30 (ET)","OKC@BOS","Boston Celtics","Brown, Jaylen","Out","Injury/Illness - Right Hamstring; Strain"
"2021-11-20","2021-11-20","07:30 (ET)","OKC@BOS","Boston Celtics","Schroder, Dennis","Available","Injury/Illness - Left Ankle; Sprain"
